title,lccn,start_year,end_year,frequency,frequency_normalized,language,place,place_of_publication
El Sordo.,sn88083854,1889,1999,Weekly,Weekly,Spanish,Texas-Duval-San Diego,"San Diego, Tex."
The Soul winner.,sn92050090,1940,1999,Monthly,Monthly,English,Texas-Gregg-Longview,"Longview, Tex."
South and west.,sn86088079,1865,1999,Weekly,Weekly,English,Texas-Caldwell-Lockhart|Texas-Travis-Austin,"Austin, Tex."
South Austin advocate. [volume],sn86090201,1937,1999,Weekly,Weekly,English,Texas-Travis-Austin,"Austin, Tex."
South Austin herald.,sn86088707,1956,1999,Weekly,Weekly,English,Texas-Travis-Austin,"Austin, Tex."
South Austin herald.,sn87090920,1977,9999,Weekly,Weekly,English,Texas-Travis-Austin,"Austin, Tex."
South Austin news.,sn86090848,1957,1999,Weekly,Weekly,English,Texas-Travis-Austin,"Austin, Tex."
South Austin news. [volume],sn86090849,1950,1951,Weekly,Weekly,English,Texas-Travis-Austin,"Austin, Tex."
The Sherman County banner. [volume],sn86088681,1892,1999,Weekly,Weekly,English,Texas-Sherman-Coldwater,"Coldwater, Tex."
The Sherman courier. [volume],sn84022099,1867,1921,Weekly,Weekly,English,Texas-Grayson-Sherman,"Sherman, Tex."
Sherman courier. [volume],sn86090546,1916,9999,Daily,Daily,English,Texas-Grayson-Sherman,"Sherman, Tex."
Sherman daily Democrat.,sn86089239,1881,1947,Daily (except Sat.),Daily,English,Texas-Grayson-Sherman,"Sherman, Tex."
Sherman daily register.,sn86089240,1885,1906,Daily (except Sun.),Daily,English,Texas-Grayson-Sherman,"Sherman, Tex."
Sherman daily register.,sn88061216,1875,9999,Daily (except Sun.),Daily,English,Texas-Grayson-Sherman,"Sherman, Tex."
Sherman Democrat. [volume],sn86090309,1947,9999,Daily (except Sat.),Daily,English,Texas-Grayson-Sherman,"Sherman, Tex."
Sherman journal. [volume],sn86090313,1861,9999,NA,Missing,English,Texas-Grayson-Sherman,"Sherman, Tex."
Sherman patriot. [volume],sn84022100,1858,9999,Weekly,Weekly,English,Texas-Grayson-Sherman,"Sherman, Tex."
Sherman register.,sn86089241,1890,1999,Weekly,Weekly,English,Texas-Grayson-Sherman,"Sherman, Tex."
Sherman Saturday chronicle.,sn88083004,1922,9999,Weekly,Weekly,English,Texas-Grayson-Sherman,"Sherman, Tex."
The Sherman weekly democrat.,sn86064238,1879,1999,Weekly,Weekly,English,Texas-Grayson-Sherman,"Sherman, Tex."
Shi jie ri bao = World journal.,sn86014854,1985,9999,Daily (except for certain holidays),Daily,Chinese,Texas-Harris-Houston,"Houston, TX"
The Shield of faith gospel call.,sn93060280,1930,1999,Monthly,Monthly,English,Texas-Tarrant-Fort Worth,"Fort Worth, Tex."
The Shield of truth.,sn93060267,1922,1999,Monthly,Monthly,English,Texas-Wichita-Wichita Falls|Texas-Young-New Castle,"New Castle, Tex."
Shiner Deutsche rundschau. [volume],sn86090315,1901,9999,Weekly,Weekly,German,Texas-Lavaca-Shiner,"Shiner, Tex."
Shiner gazette. [volume],sn86090270,1893,9999,Weekly,Weekly,English,Texas-Lavaca-Shiner,"Shiner, Tex."
The shining star.,sn88083799,1959,1999,Weekly,Weekly,English,Texas-Williamson-Taylor,"Taylor, Tex."
The Shiro advertiser. [volume],sn86090327,1910,9999,Weekly,Weekly,English,Texas-Grimes-Shiro,"Shiro, Tex."
Shopper's guide and tourist greeter.,sn88084020,1937,9999,NA,Missing,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
The shoppers' guide.,sn87090343,1900,9999,Weekly,Weekly,English,Texas-Terry-Brownfield,"Brownfield, Tex."
Silhouette.,sn88084228,1900,9999,Bimonthly,Bimonthly,English,Texas-Brazos-Bryan,"Bryan, Tex."
The Silsbee bee. [volume],sn86090205,1919,9999,Weekly,Weekly,English,Texas-Hardin-Silsbee,"Silsbee, Tex."
The Silsbee signal.,sn87090383,1916,1999,Weekly,Weekly,English,Texas-Hardin-Silsbee,"Silsbee, Tex."
The Silver democrat.,sn86088252,1896,9999,Weekly,Weekly,English,Texas-Travis-Austin,"Austin, Tex."
The Silver x-ray.,sn87091197,1800,9999,NA,Missing,English,Texas-Fort Bend-Rosenberg,"Rosenberg, Tex."
The Silverton enterprise. [volume],sn86089435,1890,1999,Weekly,Weekly,English,Texas-Briscoe-Silverton,"Silverton, Tex."
The Silverton star. [volume],sn86089436,1913,1999,Weekly,Weekly,English,Texas-Briscoe-Silverton,"Silverton, Tex."
The Simmons brand.,sn87090900,1916,1934,Weekly,Weekly,English,Texas-Taylor-Abilene,"Abilene, Tex."
The Sinton enterprise.,sn88083615,1950,9999,Weekly,Weekly,English,Texas-San Patricio-Sinton,"Sinton, Tex."
The Sinton signal. [volume],sn86090312,1897,9999,Weekly,Weekly,English,Texas-San Patricio-Sinton,"Sinton, Tex."
Sipe Springs cyclone.,sn87090911,1800,9999,Weekly,Weekly,English,Texas-Comanche-Sipe Springs,"Sipe Springs, Tex."
Sipe Springs record. [volume],sn86090279,1910,9999,NA,Missing,English,Texas-Comanche-Sipe Springs,"Sipe Springs, Tex."
The Six points news.,sn88083616,1900,9999,NA,Missing,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
The Six points star.,sn88083617,1941,9999,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Ski zette: Texas edition.,sn86090580,1944,1944,Biweekly,Semimonthly,English,Texas-Bastrop-Bastrop|Texas-Bastrop-Camp Swift,"Camp Swift, Tex."
Skidmore sentinel. [volume],sn86090243,1892,1999,Weekly,Weekly,English,Texas-Bee-Skidmore,"Skidmore, Tex."
The Skidmore signal. [volume],sn86090265,1905,1999,Weekly,Weekly,English,Texas-Bee-Skidmore,"Skidmore, Tex."
The Skiff.,sn93068206,1900,1999,Semiweekly,Semiweekly,English,"Texas-McLennan-Waco"",exas-Tarrant-Fort Worth","Waco, Tex."
Sky ranger.,sn86090733,1942,1999,Semimonthly,Semimonthly,English,Texas-Dallas-Dallas,"Dallas, Tex."
South Houston times.,sn87090872,1900,9999,Weekly,Weekly,English,Texas-Harris-South Houston,"South Houston, Tex."
South jetty.,sn86089950,1971,1972,Biweekly,Semimonthly,English,Texas-Nueces-Mustang Island|Texas-Nueces-Port Aransas,"Port Aransas, Tex."
The South Lubbock sentinel. [volume],sn86089666,1967,9999,Weekly,Weekly,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
South Plains Catholic.,sn87090952,1985,9999,Weekly,Weekly,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
The South plains farmer. [volume],sn86089693,1928,1999,Weekly,Weekly,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
South Plains sun. [volume],sn86089431,1927,1999,Weekly,Weekly,English,Texas-Floyd-South Plains,"South Plains, Tex."
South Presa - Hot Wells community news. [volume],sn86090121,1935,1935,Weekly,Weekly,English,Texas-Bexar-San Antonio,"San Antonio, Tex."
South side news bulletin. [volume],sn86090126,1935,1999,Weekly,Weekly,English,Texas-Bexar-San Antonio,"San Antonio, Tex."
South side progress. [volume],sn86090200,1929,1999,Weekly,Weekly,English,Texas-Travis-Austin,"Austin, Tex."
The South side review.,sn88083433,1966,9999,NA,Missing,English,Texas-Tarrant-Fort Worth,"Fort Worth, Tex."
The South side sun.,sn88083460,1900,9999,Weekly,Weekly,English,Texas-Tarrant-Fort Worth,"Fort Worth, Tex."
The South Texan. [volume],sn88083725,1925,9999,Weekly,Weekly,English,Texas-Kleberg-Kingsville,"Kingsville, Tex."
South Texas citizen. [volume],sn86089415,1947,1999,Weekly,Weekly,English,Texas-Harris-Houston,"Houston, Tex."
The South Texas citizen. [volume],sn86089518,1932,1999,Weekly,Weekly,English,Texas-Webb-Laredo,"Laredo, Tex."
South Texas farm & ranch news.,sn88083503,1958,1960,Weekly,Weekly,English,Texas-Bexar-San Antonio,"San Antonio, Tex."
South Texas news. [volume],sn86088525,1930,9999,Semiweekly,Semiweekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
The South Texas observer.,sn88084067,1956,9999,NA,Missing,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
South Texas people.,sn88083606,1900,9999,Weekly,Weekly,English,Texas-Webb-Laredo,"Laredo, Tex."
The South Texas reporter. [volume],sn95078917,1970,9999,Weekly,Weekly,English,Texas-Starr-Roma,"Roma, Tex."
South Texas safeguard.,sn88083810,1925,9999,Weekly,Weekly,English,Texas-San Patricio-Sinton,"Sinton, Tex."
South Texas star.,sn88083466,1900,9999,Weekly,Weekly,English,Texas-Dimmit-Carrizo Springs,"Carrizo Springs, Tex."
The South west. [volume],sn86090178,1860,1861,Weekly,Weekly,English,Texas-McLennan-Waco,"Waco, Tex."
South-east Texan. [volume],sn84022094,1800,1899,NA,Missing,English,Texas-San Augustine-San Augustine,"San Augustine, Tex."
The South-east Texan. [volume],sn86089449,1880,1882,NA,Missing,English,Texas-Jasper-Jasper,"Jasper, Tex."
The South-Texan.,sn86089942,1892,9999,NA,Missing,English,Texas-Fort Bend-Richmond,"Richmond, Tex."
The Suburban journal.,sn87090273,1963,9999,Weekly,Weekly,English,Texas-Galveston-Dickinson|Texas-Galveston-League City,"League City, Tex."
Suburban news.,sn87090915,1900,9999,Weekly,Weekly,English,Texas-Dallas-Carrollton|Texas-Dallas-Farmers Branch,"Farmers Branch, Tex."
Suburban news.,sn88083186,1967,1999,Weekly,Weekly,English,Texas-Dallas-Dallas,"Dallas, Tex."
The Suburban tribune.,sn87090930,1953,9999,Weekly,Weekly,English,Texas-Dallas-Dallas,"Dallas, Tex."
The Suburbanite.,sn87091153,1905,9999,Weekly,Weekly,English,Texas-Harris-Houston,"Houston, Tex."
Suburbia news.,sn88083204,1972,9999,Weekly,Weekly,English,Texas-Dallas-Seagoville,"Seagoville, Tex."
The Success. [volume],sn86088717,1900,1926,Weekly,Weekly,English,Texas-Schleicher-Eldorado,"Eldorado, Tex."
Sud Texas post.,sn87090338,1910,9999,NA,Missing,German,Texas-Harris-Houston,"Houston, Tex."
Sudan beacon news.,sn87090337,1900,9999,Weekly,Weekly,English,Texas-Lamb-Sudan,"Sudan, Tex."
The Sudan news. [volume],sn86089651,1924,1999,Weekly,Weekly,English,Texas-Lamb-Sudan,"Sudan, Tex."
Sul Ross skyline. [volume],sn86090146,1923,1999,Weekly,Weekly,English,Texas-Brewster-Alpine,"Alpine, Tex."
The Sulphur Springs gazette. [volume],sn84022103,1862,1928,Weekly,Weekly,English,Texas-Hopkins-Sulphur Springs,"Sulphur Springs, Tex."
Sulphur Springs news-telegram.,sn83007168,1977,9999,"Daily (except Saturday, New Year's, Independence & Labor days, Thanksgiving and Christmas)",Daily,English,Texas-Hopkins-Sulphur Springs,"[Sulphur Springs, Tx.]"
The Summer session toreador. [volume],sn86090516,1937,1999,Weekly,Weekly,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
The Statesman.,sn87090667,1916,1921,Daily,Daily,English,Texas-Travis-Austin,"Austin, Tex."
The stayer. [online resource],2013271948,1896,1903,Weekly,Weekly,English,Texas-Randall-Canyon|Texas-Randall-Canyon City,"Canyon City, Texas"
The stayer.,sn86088093,1896,1903,Weekly,Weekly,English,Texas-Randall-Canyon|Texas-Randall-Canyon City,"Canyon City, Tex."
The Steel country bee.,sn88083475,1979,1989,Semiweekly,Semiweekly,English,Texas-Morris-Dangerfield,"Daingerfield, Tex."
La Stella del Texas.,sn87090330,1912,9999,Weekly,Weekly,Italian,Texas-Galveston-Galveston,"Galveston, Tex."
Stephens County sun.,2009271402,1900,1999,Weekly,Weekly,English,Texas-Stephens-Breckenridge,"Breckenridge, Tex."
The Stephenvile star.,sn87091227,1978,9999,Weekly,Weekly,English,Texas-Erath-Stephenville,"Stephenville, Tex."
Stephenville empire-tribune. [volume],sn86090398,1900,9999,Weekly,Weekly,English,Texas-Erath-Stephenville,"Stephenville, Tex."
The Stephenville empire. [volume],sn84022102,1871,1930,Weekly,Weekly,English,Texas-Erath-Stephenville,"Stephenville, Tex."
Stephenville journal. [volume],sn86090253,1892,9999,Weekly,Weekly,English,Texas-Erath-Stephenville,"Stephenville, Tex."
The Stephenville tribune.,sn86088010,1892,1909,Weekly,Weekly,English,Texas-Erath-Stephenville,"Stephenville, Tex."
Sterling City news-record.,sn86089266,1902,9999,Weekly,Weekly,English,Texas-Sterling-Sterling City,"Sterling City, Tex."
The Sterling City news.,sn86089810,1892,1999,Weekly,Weekly,English,Texas-Sterling-Sterling City,"Sterling City, Tex."
The Sterling County record. [volume],sn86089126,1899,1999,Weekly,Weekly,English,Texas-Sterling-Sterling City,"Sterling City, Tex."
The Sterling courier. [volume],sn86089127,1891,1999,Weekly,Weekly,English,Texas-Sterling-Sterling City,"Sterling City, Tex."
The Sticker. [volume],sn86090522,1893,1899,Weekly,Weekly,English,Texas-Fayette-Schulenburg,"Schulenburg, Tex."
The sting-a-ree.,sn86089302,1932,1999,NA,Missing,English,Texas-Travis-Austin,"Austin, Tex."
The Stinnett leader.,sn86090678,1967,1999,Weekly,Weekly,English,Texas-Hutchinson-Stinnett,"Stinnett, Tex."
The Stinnett star.,sn86090677,1963,1999,Weekly,Weekly,English,Texas-Hutchinson-Stinnett,"Stinnett, Tex."
Stinson-Field weekly bulletin.,sn86090788,1942,1999,Weekly,Weekly,English,Texas-Bexar-San Antonio|Texas-Bexar-Stinson Field,"Stinson Field, Tex."
St. Mary's review.,sn87090814,1891,1891,Semimonthly,Semimonthly,English,Texas-Bexar-San Antonio,"San Antonio, Tex."
St. Mary's weekly review.,sn87090815,1891,1892,Weekly,Weekly,English,Texas-Bexar-San Antonio,"San Antonio, Tex."
The Staked plain.,sn86090681,1885,1999,NA,Missing,English,Texas-Midland-Midland,"Midland, Tex."
The Stamford American and Stamford leader. [volume],sn87091005,1951,9999,Weekly,Weekly,English,Texas-Jones-Stamford,"Stamford, Tex."
Stamford American and the Stamford leader.,sn87091230,1951,1965,Weekly,Weekly,English,Texas-Jones-Stamford,"Stamford, Tex."
Stamford American. [volume],sn86090325,1924,1951,Weekly,Weekly,English,Texas-Jones-Stamford,"Stamford, Tex."
Stamford American.,sn87091231,1965,9999,Weekly,Weekly,English,Texas-Jones-Stamford,"Stamford, Tex."
The Stamford leader. [volume],sn86090324,1910,1951,Semiweekly,Semiweekly,English,Texas-Jones-Stamford,"Stamford, Tex."
Stamford news-tribune.,sn86089300,1900,1919,Weekly,Weekly,English,Texas-Jones-Stamford,"Stamford, Tex."
The Stamford news. [volume],sn86090269,1900,1999,Weekly,Weekly,English,Texas-Jones-Stamford,"Stamford, Tex."
The Stamford tribune.,sn87091111,1905,1999,Weekly,Weekly,English,Texas-Jones-Stamford,"Stamford, Tex."
The standard enterprise.,sn86090040,1888,1899,Weekly,Weekly,English,Texas-Cherokee-Rusk,"Rusk, Tex."
The Stockdale times. [volume],sn86090250,1909,9999,Weekly,Weekly,English,Texas-Wilson-Stockdale,"Stockdale, Tex."
The Stolen list. [volume],sn86090026,1885,1999,Monthly,Monthly,English,Texas-Tarrant-Fort Worth,"Fort Worth, Tex."
The Stonewall County courier.,sn87091121,1985,9999,Weekly,Weekly,English,Texas-Stonewall-Aspermont,"Aspermont, Tex."
The Storm drift.,sn87090312,1900,9999,Monthly,Monthly,English,Texas-Galveston-Hitchcock,"Hitchcock, Tex."
Stowe's chronicle.,sn91072529,1900,1999,Monthly,Monthly,English,Texas-Tarrant-Fort Worth,"Fort Worth, Tex."
The Stowell news.,sn88083279,1914,9999,Weekly,Weekly,English,Texas-Chambers-Stowell,"Stowell, Tex."
The Stratford star.,sn86089804,1901,9999,Weekly,Weekly,English,Texas-Sherman-Stratford,"Stratford, Tex."
The Strawn enterprise. [volume],sn86090249,1904,9999,Weekly,Weekly,English,Texas-Palo Pinto-Strawn,"Strawn, Tex."
Strawn success.,sn88083418,1895,9999,Weekly,Weekly,English,Texas-Palo Pinto-Strawn,"Strawn, Tex."
The Strawn tribune. [volume],sn86089652,1912,1999,Weekly,Weekly,English,Texas-Palo Pinto-Strawn,"Strawn, Tex."
Street's monthly. [volume],sn86090297,1876,1999,Monthly,Monthly,English,Texas-McLennan-Waco,"Waco, Tex."
Street's weekly news. [volume],sn86090301,1876,1999,Weekly,Weekly,English,Texas-McLennan-Waco,"Waco, Tex."
Street's weekly.,sn86089862,1876,9999,Weekly,Weekly,English,Texas-Lamar-Paris,"Memphis, Tenn. and Paris, Tex."
Streetman enterprise. [volume],sn86090248,1912,9999,Weekly,Weekly,English,Texas-Freestone-Streetman,"Streetman, Tex."
The spokesman.,sn87090956,1904,9999,Weekly,Weekly,English,Texas-Kleberg-Kingsville,"Kingsville, Tex."
The Sportlight.,sn88083858,1900,1999,NA,Missing,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
The spotlight.,sn87090297,1935,9999,Weekly,Weekly,English,Texas-Galveston-Galveston,"Galveston, Tex."
Spring times.,sn88083073,1983,9999,NA,Missing,English,Texas-Montgomery-Spring,"Spring, Tex."
The Springtown current.,sn88083181,1983,9999,Weekly,Weekly,English,Texas-Parker-Springtown,"Springtown, Tex."
Springtown epigraph.,sn88083182,1970,9999,Weekly,Weekly,English,Texas-Parker-Springtown,"Springtown, Tex."
Springtown local. [volume],sn86090252,1916,9999,Weekly,Weekly,English,Texas-Parker-Springtown,"Springtown, Tex."
Springtown review.,sn87091008,1900,9999,Weekly,Weekly,English,Texas-Parker-Springtown|Texas-Parker-Throckmorton,"Throckmorton, Tex."
Shelbyville echo. [volume],sn86090314,1860,9999,NA,Missing,English,Texas-Shelby-Shelbyville,"Shelbyville, Tex."
The Shepherd citizen.,sn88083911,1985,9999,Weekly,Weekly,English,Texas-San Jacinto-Shepherd,"Shepherd, Tex."
The Shepherd sentinel.,sn93068216,1978,1999,Weekly,Weekly,English,Texas-San Jacinto-Shepherd,"Shepherd, Tex."
Sheppard Field texacts.,sn86090603,1941,1999,Weekly,Weekly,English,Texas-Wichita-Sheppard Field|Texas-Wichita-Wichita Falls,"Sheppard Field, Tex."
The Sheppard senator. [volume],sn94059107,1900,9999,Weekly,Weekly,English,Texas-Wichita-Sheppard Air Force Base|Texas-Wichita-Wichita Falls,"Wichita Falls, Tex."
The Western chronicle. [volume],sn86090289,1877,1899,Weekly,Weekly,English,Texas-Wilson-Floresville|Texas-Wilson-Sutherland Springs,"Sutherland Springs, Tex."
Western clarion. [volume],sn86089706,1854,1899,Weekly,Weekly,English,Texas-Caldwell-Lockhart,"Lockhart, Tex."
The Western evangel. [volume],sn86090507,1906,1999,Weekly,Weekly,English,Texas-Taylor-Abilene,"Abilene, Tex."
The Western eye opener.,sn86090682,1895,1999,NA,Missing,English,Texas-Midland-Midland,"Midland, Tex."
The western light. [volume],sn86090331,1898,1999,Weekly,Weekly,English,Texas-Scurry,"Snyder, Tex."
The western news. [volume],sn86088221,1000,1909,Weekly,Weekly,English,Texas-Jones-Anson,"Anson, Tex."
Western newspaper union. [volume],sn94052798,1800,1999,NA,Missing,English,Texas-Dallas-Dallas,"Dallas, Tex."
The western observer.,sn86088052,1945,9999,Weekly,Weekly,English,Texas-Jones-Anson,"Anson, Tex."
The Wise County index.,sn88083179,1907,1916,Weekly,Weekly,English,Texas-Wise-Bridgeport|Texas-Wise-Decatur,"Bridgeport, Tex."
Wise County messenger. [volume],sn84008025,1880,9999,Semiweekly,Semiweekly,English,Texas-Wise-Decatur,"Decatur, Tex."
The Wise times.,sn88083220,1963,9999,Weekly,Weekly,English,Texas-Wise-Decatur,"Decatur, Tex."
Das Wochenblatt der Union. [volume],sn86099913,1860,1872,Weekly,Weekly,German,Texas-Galveston-Galveston,Galveston [Tex]
Das Wochenblatt. [volume],sn86088291,1909,1938,Weekly,Weekly,German,Texas-Travis-Austin,"Austin, Tex."
Wochentliche union.,sn87090328,1859,1869,Weekly,Weekly,German,Texas-Galveston-Galveston,"Galveston, Tex."
The Wolfe City Mirror.,sn83003223,1900,9999,Weekly,Weekly,English,Texas-Hunt-Wolfe City,"Wolfe City, Tex."
The Wolfe City sun. [volume],sn86088977,1891,1999,Weekly,Weekly,English,Texas-Hunt-Wolfe City,"Wolfe City, Tex."
Wolfforth review.,sn86090675,1983,1983,Weekly,Weekly,English,Texas-Lubbock-Wolfforth,"Wolfforth, Tex."
The Wolters trumpet.,sn88083476,1900,9999,NA,Missing,English,Texas-Palo Pinto-Fort Wolters|Texas-Palo Pinto-Mineral Wells,"Mineral Wells, Tex."
Womansight.,sn87090916,1980,1989,Monthly,Monthly,English,Texas-Dallas-Dallas,"Dallas, Tex."
Wood County Democrat and echo. [volume],sn83026368,1960,9999,Weekly,Weekly,English,Texas-Wood-Quitman,"Quitman, Tex."
Wood County Democrat. [volume],sn86088592,1893,1960,Weekly,Weekly,English,Texas-Wood-Quitman,"Quitman, Tex."
Wood County echo. [volume],sn86090119,1930,1960,Weekly,Weekly,English,Texas-Wood-Quitman,"Quitman, Tex."
The Wood County flag.,sn88084239,1800,1999,NA,Missing,English,Texas-Wood-Mineola,"Mineola, Tex."
The Wood County record.,sn88084090,1900,1982,Weekly,Weekly,English,Texas-Wood-Mineola,"Mineola, Tex."
The Woodlands sun.,sn86014813,1900,9999,Weekly,Weekly,English,Texas-Montgomery-Woodlands,"The Woodlands, Tex."
West side leader.,sn88083407,1965,9999,Weekly,Weekly,English,Texas-Tarrant-White Settlement,"White Settlement, Tex."
The West side news.,sn88083384,1900,9999,Weekly,Weekly,English,Texas-Tarrant-Fort Worth,"Fort Worth, Tex."
West side post-news.,sn88083385,1940,1965,Weekly,Weekly,English,Texas-Tarrant-Fort Worth,"Fort Worth, Tex."
West Texas Baptist.,sn87090809,1924,9999,Semimonthly,Semimonthly,English,Texas-Taylor-Abilene,"Abilene, Tex."
West Texas free press and San Marcos valley times. [volume],sn86088430,1873,1874,Weekly,Weekly,English,Texas-Hays-San Marcos,"San Marcos, Tex."
West Texas free press. [volume],sn84022096,1874,1877,Weekly,Weekly,English,Texas-Hays-San Marcos,"San Marcos, Tex."
The West Texas gusher.,sn88084074,1927,1999,Weekly,Weekly,English,Texas-Midland-Midland,"Midland, Tex."
The West Texas independent courier. [volume],sn86088414,1900,1901,Weekly,Weekly,English,Texas-Kendall-Comfort,"Comfort, Tex."
West Texas journal.,sn86088319,1902,1999,Weekly,Weekly,English,Texas-Ward-Barstow,"Barstow, Tex."
West Texas livestock weekly. [volume],sn86089783,1940,1977,Weekly,Weekly,English,Texas-Tom Green-San Angelo,"San Angelo, Tex."
The West Texas monitor.,sn86090045,1905,9999,Weekly,Weekly,English,Texas-Tom Green-San Angelo,"San Angelo, Tex."
West Texas news. [volume],sn86088588,1904,9999,Weekly,Weekly,English,Texas-Mitchell-Colorado|Texas-Mitchell-Colorado city|Texas-Val Verde-Del Rio,"Colorado, Tex."
The West Texas news. [volume],sn86090241,1904,1999,Weekly,Weekly,English,Texas-Scurry-Snyder,"Snyder, Tex."
The West Texas ranger.,sn88083273,1987,9999,Weekly,Weekly,English,Texas-Bailey-Muleshoe,"Muleshoe, Tex."
The West Texas register.,sn87090701,1955,1975,Weekly,Weekly,English,Texas-Potter-Amarillo,"Denver, Colo."
West Texas reporter. [volume],sn86088790,1912,1999,Weekly,Weekly,English,Texas-Young-Graham,"Graham, Tex."
West Texas scout news.,sn87090429,1936,9999,Monthly,Monthly,English,Texas-Tom Green-San Angelo,"San Angelo, Tex."
West Texas sentinel.,sn86089895,1891,1999,Weekly,Weekly,English,Texas-Taylor-Abilene,"Abilene, Tex."
West Texas sporting news.,sn86090724,1941,1999,Weekly,Weekly,English,Texas-Taylor-Abilene,"Abilene, Tex."
West Texas stock farmer. [volume],sn86088511,1892,9999,NA,Missing,English,Texas-Mitchell-Colorado|Texas-Mitchell-Colorado city,"Colorado, Tex."
West Texas times. [volume],sn86089686,1960,9999,Weekly,Weekly,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
West Texas times.,sn87090058,1972,9999,Weekly,Weekly,English,Texas-Culberson-Van Horn,"Van Horn, Tex."
The West times. [volume],sn86090428,1800,1919,Weekly,Weekly,English,Texas-McLennan-West,"West, Tex."
The West union detective.,sn87090603,1890,9999,Monthly,Monthly,English,Texas-Travis-Austin,"Austin, Tex."
The West weekly news and times.,sn88083356,1910,1929,Weekly,Weekly,English,Texas-McClennan-West,"West, Tex."
The West weekly news.,sn88083362,1900,1919,Weekly,Weekly,English,Texas-McLennan-West,"West, Tex."
Western advocate. [volume],sn86089560,1843,1844,Biweekly,Semimonthly,English,Texas-Travis-Austin,"City of Austin [i.e. Austin], Tex."
The western advocate.,sn86090968,1896,1999,Weekly,Weekly,English,Texas-Potter-Amarillo,"Amarillo, Tex."
Western American.,sn87090211,1900,1999,NA,Missing,English,Texas-El Paso-El Paso,"El Paso, Tex."
Western Baptist. [volume],sn88083251,1890,1892,Weekly,Weekly,English,Texas-Dallas-Dallas,"Dallas, Tex."
The White Republican.,sn86090032,1890,1890,Weekly,Weekly,English,Texas-Bexar-San Antonio,"San Antonio, Tex."
The White Rocker news.,sn88083187,1965,1990,Weekly,Weekly,English,Texas-Dallas-Dallas,"Dallas, Tex."
The White rocker.,sn87090906,1945,1965,Weekly,Weekly,English,Texas-Dallas-Dallas,"Dallas, Tex."
The White Rocker.,sn90004484,1990,9999,Weekly,Weekly,English,Texas-Dallas-Dallas,"Dallas, Tex."
The White Settlement bomber news.,sn88083405,1964,9999,Weekly,Weekly,English,Texas-Tarrant-White Settlement,"White Settlement, Tex."
White Settlement leader.,sn88083138,1986,9999,Weekly,Weekly,English,Texas-Tarrant-White Settlement,"White Settlement, Tex."
White Settlement tribune.,sn88084089,1964,9999,NA,Missing,English,Texas-Tarrant-White Settlement,"White Settlement, Tex."
The Whitehouse journal.,sn88084240,1900,9999,Weekly,Weekly,English,Texas-Smith-Whitehouse,"Whitehouse, Tex."
Whitesboro commercial journal.,sn88083005,1800,9999,Monthly,Monthly,English,Texas-Grayson-Whitesboro,"Whitesboro, Tex."
Whitesboro news-record. [volume],sn86090404,1900,9999,Weekly,Weekly,English,Texas-Grayson-Whitesboro,"Whitesboro, Tex."
The Whitesboro news. [volume],sn86090391,1880,1999,Weekly,Weekly,English,Texas-Grayson-Whitesboro,"Whitesboro, Tex."
The Whitesboro record. [volume],sn86090392,1902,1999,Weekly,Weekly,English,Texas-Grayson-Whitesboro,"Whitesboro, Tex."
The Whitewright sun.,sn88083331,1000,9999,Weekly,Weekly,English,Texas-Grayson-Whitewright,"Whitewright, Tex."
Whitney messenger and Lake Whitney news. [volume],sn93004682,1000,1999,Weekly,Weekly,English,Texas-Hill-Whitney,"Whitney, Tex."
The Whitney messenger. [volume],sn86090366,1883,1999,Weekly,Weekly,English,Texas-Hill-Whitney,"Whitney, Tex."
Wichita daily times.,sn86064248,1907,1955,Daily,Daily,English,Texas-Wichita-Wichita Falls,"Wichita Falls, Tex."
Wichita Falls post.,sn87090736,1900,9999,Daily,Daily,English,Texas-Wichita-Wichita Falls,"Wichita Falls, Tex."
Wichita Falls record news.,sn83004241,1917,1987,Daily (except Sun.),Daily,English,Texas-Wichita-Wichita Falls,"[Wichita Falls, Tex.]"
Wichita Falls times. [volume],sn83004240,1955,1987,Daily (except Sat. and certain holidays),Daily,English,Texas-Wichita-Wichita Falls,"Wichita Falls, Tex."
Wichita herald. [volume],sn86090385,1882,1999,NA,Missing,English,Texas-Wichita-Wichita Falls,"Wichita Falls, Tex."
Wichita Valley farmer. [volume],sn86090007,1932,9999,Weekly,Weekly,English,Texas-Wichita-Wichita Falls,"Wichita Falls, Tex."
Wichita weekly times.,sn86090847,1887,1918,Weekly,Weekly,English,Texas-Wichita-Wichita Falls,"Wichita Falls, Tex."
The Wildorado progress.,sn86088006,1909,1910,Weekly,Weekly,English,Texas-Oldham-Wildorado,"Wildorado, Tex."
